iter	Passed	Remaining
0	11	11964
1	18	9088
2	24	8024
3	31	7800
4	37	7404
5	42	7060
6	49	6994
7	56	6958
8	61	6768
9	66	6622
10	72	6556
11	78	6474
12	83	6320
13	88	6234
14	95	6249
15	101	6237116	107	6228117	112	6136118	117	6088119	123	6031220	128	6012221	134	5981222	141	6019223	148	6047224	155	6046225	160	6011226	165	5958227	170	5907228	175	5887229	181	5869330	185	5812331	192	5832332	199	5858333	206	5859334	211	5824335	216	5808336	222	5790
37	227	5758338	233	5756339	239	5748
40	246	5760
41	252	5770
42	258	5754
43	263	5734
44	268	5693
45	274	5693
46	279	5675
47	286	5681
48	293	5704
49	300	5709
50	306	5699
51	311	5680
52	316	5652
53	321	5627
54	327	5627
55	332	5596
56	337	5590
57	343	5578
